Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Document Type,Publication Stage,Access Type,Source,EID
"Lingel C., Sheridan J.T.","43861675800;7201682655;","Optical cryptanalysis: Metrics of robustness and cost functions",2011,"Optics and Lasers in Engineering","49","9-10",,"1131","1138",,5,"10.1016/j.optlaseng.2011.05.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79959844380&doi=10.1016%2fj.optlaseng.2011.05.009&partnerID=40&md5=924662495f9cafb1d0414882ced4ae5e","The robustness of optical encryption systems is often quantified by plotting the normalised root mean square (NRMS) error against a particular error in the decryption process, i.e., misalignment of, or pixel errors in the decryption key. In addition, the NRMS appears as a cost function in heuristic iterative attacking techniques, employed to crack optical encryption systems. In fact several other potential measures can be used to quantify the error of a decryption process, for example the λ parameter, entropy and different auto-focus (image sharpness) based values, i.e., the sum modulus difference and the focus value. Based on detailed numerical simulations, it is shown that in comparison to these other metrics the NRMS provides the best results when attacking an optical encryption system. © 2011 Elsevier Ltd. All rights reserved.",Article,"Final",,Scopus,2-s2.0-79959844380
"Guo J., Gleeson M.R., Liu S., Sheridan J.T.","7404488791;7102850433;24070757300;7201682655;","Non-local spatial frequency response of photopolymer materials containing chain transfer agents: I. Theoretical modelling",2011,"Journal of Optics","13","9", 095601,"","",,41,"10.1088/2040-8978/13/9/095601","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052207145&doi=10.1088%2f2040-8978%2f13%2f9%2f095601&partnerID=40&md5=c3974c9d4ed95fbc0f06a8574bd91f49","The non-local photopolymerization driven diffusion (NPDD) model predicts that a reduction in the non-local response length within a photopolymer material will improve its high spatial frequency response. The introduction of a chain transfer agent reduces the average molecular weight of polymer chains formed during free radical polymerization. Therefore a chain transfer agent (CTA) provides a practical method to reduce the non-local response length. An extended NPDD model is presented, which includes the chain transfer reaction and most major photochemical processes. The addition of a chain transfer agent into an acrylamide/polyvinyl alcohol photopolymer material is simulated and the predictions of the model are examined. The predictions of the model are experimentally examined in part II of this paper. © 2011 IOP Publishing Ltd.",Review,"Final",,Scopus,2-s2.0-80052207145
"Tobin L.L., O'Reilly T., Zerulla D., Sheridan J.T.","35197336800;35196699800;6603470204;7201682655;","Characterising dye-sensitised solar cells",2011,"Optik","122","14",,"1225","1230",,15,"10.1016/j.ijleo.2010.07.028","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79956359543&doi=10.1016%2fj.ijleo.2010.07.028&partnerID=40&md5=1f1eacc9b63da12b680c3a93a33893cd","In today's society there is a vast and in many cases not fully appreciated dependence on electrical power for everyday life. Furthermore, with growing energy and environmental concerns arising due to fossil fuel depletion and climate change/global warming, ever increasing attention is being given to alternative and/or renewable sources of energy such as biomass, hydropower, geothermal, wind and solar energy. Devices such as photovoltaic cells are therefore of enormous importance. The more widely used and commercially available silicon (semiconductor) based cells currently have the greatest reported efficiencies and have received considerable attention. However the manufacturing of these cells is complex and expensive due to the cost and difficulty of producing and processing pure silicon. One alternative technology being explored is the development of dye-sensitised solar cells (DSSCs) or Grätzel cells. In this paper we report on our current work to develop simple test equipment and optoelectronic models describing the performance and behaviours of DSSCs. We describe some of the background to our work and also some of our initial experimental results. Based on these results we aim to characterise the opto-electrical properties and bulk characteristics of simple dye-sensitised solar cells and then to proceed to test new cell compositions. © 2010 Elsevier GmbH. All rights reserved.",Article,"Final",,Scopus,2-s2.0-79956359543
"Sabol D., Sabolovqá M., Gleeson M.R., Sheridan J.T.","24071821300;39762754000;7102850433;7201682655;","Spectral study of irgacure 784 dye in an epoxy resin photopolymer",2011,"Proceedings of SPIE - The International Society for Optical Engineering","8074",, 80740H,"","",,,"10.1117/12.890309","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79958294887&doi=10.1117%2f12.890309&partnerID=40&md5=db6b25d8375f04199eae3d112b5bce79","Holographic recording at shorter wavelengths enables to capture holograms with a greater resolution. Photopolymer material sensitisation to a blue or violet wavelength might require replacement of photosensitive dye or whole photosensitiser system which leads to different photoinitiation kinetics. There are known photoinitiator systems which have high values of key photoinitiation parameters, e.g., molar absorption coefficient at a broad range of wavelengths, quantum yield etc. An example of such photosensitiser is an organometallic titanocene, Irgacure 784. However Irgacure 784 in an epoxy resin photopolymer undergoes a complex photo-kinetics which is neither fully understood nor quantified. This complex photo-kinetics results in different bleaching evolution when using green and blue exposing light. The aim of this paper is to identify relevant photo-kinetic reactions taking place during exposure and driving the bleaching process. For this purpose photopolymer layers of four material compositions containing Irgacure 784 were prepared and exposed for nine exposure times. Absorbance spectrum was measured before after each exposure. We report on our experimental results and draw conclusions identifying relevant reactions of the Irgacure 784 photo-kinetics in epoxy resin photopolymers. © 2011 SPIE.",Article,"Final",,Scopus,2-s2.0-79958294887
"Guo J., Gleeson M.R., Liu S., Sheridan J.T.","7404488791;7102850433;24070757300;7201682655;","Theoretical and experimental analysis of chain transfer agents behaviors in photopolymer material",2011,"Proceedings of SPIE - The International Society for Optical Engineering","8074",, 80740G,"","",,,"10.1117/12.886933","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79958271855&doi=10.1117%2f12.886933&partnerID=40&md5=e08ed6f229b4de95884f68dfbb8cab25","The Non-local Photo-Polymerization Driven Diffusion (NPDD) model indicates how a material's performance might be improved, and provides a tool for quantitive comparison of different material compositions and to predict their fundamental limits. In order to reduce the non-locality of polymer chain growth (i.e the non-local response parameter, σ) and to improve the spatial frequency response of a photopolymer material, we introduce the chain transfer agent (CTA). In the literature, extensive studies have been carried out on the improvements of the non-local response modifying by the CTA, sodium formate, in the polyvinyl alcohol-acrylamide (PVA/AA) material. In this article, i) based on the chemical reactions of CTA, we extended the CTA model in the literature; ii) we compare two different CTA materials, sodium formate and 1-mercapto-2- propanol without cross-linker in order to obtain the experimental confirmation of the reduction in the average polymer molecular weight is provided using a diffusion-based holographic technique; iii) we examine the non-local responses of several spatial frequencies with the two CTAs. Using the extended CTA model it is demonstrated that the CTA has the effect of decreasing the average length of the polyacrylamide (PA) chains formed, thus reducing the non-local response parameter, especially, in the high spatial frequency case. © 2011 SPIE.",Article,"Final",,Scopus,2-s2.0-79958271855
"Gleeson M.R., Guo J., Liu S., Sheridan J.T.","7102850433;7404488791;24070757300;7201682655;","NPDD model: A tool for photopolymer enhancement",2011,"Proceedings of SPIE - The International Society for Optical Engineering","8074",, 807407,"","",,,"10.1117/12.898610","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79958259826&doi=10.1117%2f12.898610&partnerID=40&md5=d77b87abc25f1395ce58797879515f35","The use of theoretical models to represent the photochemical effects present during the formation of spatially and temporally varying index structures in photopolymers, is critical in order to maximise a material's potential. One such model is the Non-local Photo-Polymerization Driven Diffusion (NPDD) model. Upon application of appropriate physical constraints for a given photopolymer material, this model can accurately quantify all major photochemical processes. These include i) non-steady state kinetics, (ii) non-linearity iii) spatially non-local polymer chain growth, iv) time varying primary radical production, v) diffusion controlled effects, vi) multiple termination mechanisms, vii) inhibition, (viii) polymer diffusion and ix) post-exposure effects. In this paper, we examine a number of predictions made by the NPDD model. The model is then applied to an acrylamide/polyvinylalcohol based photopolymer under various recording conditions. The experimentally obtained results are then fit using the NPDD model and key material parameters describing the material's performance are estimated. The ability to obtain such parameters facilitates material optimisation for a given application. © 2011 SPIE.",Article,"Final",,Scopus,2-s2.0-79958259826
"Kelly D.P., Meinecke T., Sabitov N., Sinzinger S., Sheridan J.T.","56044455800;6504207268;36442606200;6701586292;7201682655;","Digital holography and phase retrieval: A theoretical investigation",2011,"Proceedings of SPIE - The International Society for Optical Engineering","8074",, 80740C,"","",,1,"10.1117/12.892010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79958263941&doi=10.1117%2f12.892010&partnerID=40&md5=82a9693edaad5f30b9e0204172d423be","Iterative Phase Retrieval (PR) techniques represent an alternative means to Digital Holography (DH) for estimating the complex amplitude of an optical wavefront. To achieve a high-resolution reconstruction from a digital hologram, one must use Phase-Shifting Interferometric (PSI) techniques to remove the DC and twin image terms that are a feature of holographic recordings. Unfortunately this approach is not suitable for imaging dynamic events, since a minimum of 3 sequential captures, are typically required and the scene cannot change during this recording process. PR algorithms may provide a solution to this dynamic imaging problem, however these algorithms provide solutions that are not unique and hence cannot ensure an accurate solution to the problem. © 2011 SPIE.",Article,"Final",,Scopus,2-s2.0-79958263941
"Healy J.J., Sheridan J.T.","14055830200;7201682655;","Space-bandwidth ratio as a means of choosing between Fresnel and other linear canonical transform algorithms",2011,"Journal of the Optical Society of America A: Optics and Image Science, and Vision","28","5",,"786","790",,28,"10.1364/JOSAA.28.000786","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79958838537&doi=10.1364%2fJOSAA.28.000786&partnerID=40&md5=76f66f04afbb437d0ca1d51fa26bc1e0","The product of the spatial and spatial frequency extents of a wave field has proven useful in the analysis of the sampling requirements of numerical simulations. We propose that the ratio of these quantities is also illuminating. We have shown that the distance at which the so-called ""direct method"" becomes more efficient than the so-called ""spectral method"" for simulations of Fresnel transforms may be written in terms of this space-bandwidth ratio. We have proposed generalizations of these algorithms for numerical simulations of general ABCD systems and derived expressions for the ""transition space-bandwidth ratio,"" above which the generalization of the spectral method is the more efficient algorithm and below which the generalization of the direct method is preferable. © 2011 Optical Society of America.",Article,"Final",,Scopus,2-s2.0-79958838537
"Li D., Kelly D.P., Sheridan J.T.","36521412000;56044455800;7201682655;","Three-dimensional static speckle fields. Part I. Theory and numerical investigation",2011,"Journal of the Optical Society of America A: Optics and Image Science, and Vision","28","9",,"1896","1903",,21,"10.1364/JOSAA.28.001896","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052339419&doi=10.1364%2fJOSAA.28.001896&partnerID=40&md5=6b2d6123dcc62dd8b5f40ac9fa465a01","When monochromatic light is scattered from an optically rough surface a complicated three-dimensional (3D) field is generated. These fields are often described by reference to the 3D volume (extent) of their speckles, leading to the definition of lateral and longitudinal speckle sizes (z). For reasons of mathematical simplicity the longitudinal speckle size is often derived by examining the decorrelation of the speckle field for a single point lying on axis, i.e., x = y = 0, and this size is generally assumed to be representative for other speckles that lie further offaxis. Some recent theoretical results, however, indicate that in fact longitudinal speckle size gets smaller as the observation position moves to off-axis spatial locations. In this paper (Part I), we review the physical argument leading to this conclusion and support this analysis with a series of robust numerical simulations. We discuss, in some detail, computational issues that arise when simulating the propagation of speckle fields numerically, showing that the spectral method is not a suitable propagation algorithm when the autocorrelation of the scattering surface is assumed to be delta correlated. In Part II [J. Opt. Soc. Am. A 28, 1904 (2011)] of this paper, experimental results are provided that exhibit the predicted variation of longitudinal speckle size as a function of position in x and y. The results are not only of theoretical interest but have practical implications, and in Part II a method for locating the optical system axis is proposed and experimentally demonstrated. © 2011 Optical Society of America.",Article,"Final",,Scopus,2-s2.0-80052339419
"Li D., Kelly D.P., Sheridan J.T.","36521412000;56044455800;7201682655;","Three-dimensional static speckle fields. Part II. Experimental investigation",2011,"Journal of the Optical Society of America A: Optics and Image Science, and Vision","28","9",,"1904","1908",,15,"10.1364/JOSAA.28.001904","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052335478&doi=10.1364%2fJOSAA.28.001904&partnerID=40&md5=5a7b9899034e19206edfe3e64a2a6e7a","In Part I [J. Opt. Soc. Am. A 28, 1896 (2011) of this paper, the physical model for fully developed speckle is examined based on two critical assumptions. (i) It is assumed that in the object plane, the speckle field is delta correlated, and (ii) it is assumed that the speckle field in the observation plane can be described as a Gaussian random process. A satisfactory simulation technique, based on the assumption that spatial averaging can be used to replace ensemble averaging, is also presented. In this part a detailed experimental investigation of the three-dimensional speckle properties is performed using spatial averaging. The results provide solid verification for the predictions presented in Part I. The results are not only of theoretical interest but have practical implications. Techniques for locating and aligning the optical system axis with the camera center, and for measuring out-of-plane displacement, are demonstrated. © 2011 Optical Society of America.",Article,"Final",,Scopus,2-s2.0-80052335478
"Close C.E., Gleeson M.R., Sheridan J.T.","9246335300;7102850433;7201682655;","Monomer diffusion rates in photopolymer material. Part I. Low spatial frequency holographic gratings",2011,"Journal of the Optical Society of America B: Optical Physics","28","4",,"658","666",,43,"10.1364/JOSAB.28.000658","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79957600544&doi=10.1364%2fJOSAB.28.000658&partnerID=40&md5=a55bdc57c6e0780a31cd03468f3473fd","For photopolymers, knowing the rate of diffusion of the active monomer is important when modeling the material evolution during recording in order to understand and optimize their performance. Unfortunately, a confusingly wide range of values have been reported in the literature. Re-examining these results, experiments are carried out for both coverplated (sealed) and uncoverplated material layers and the measurements are analyzed using appropriate models. In this way, a more detailed analysis of the diffraction processes taking place for large-period gratings is provided. These results, combined with those in Part II, provide unambiguous evidence that the monomer diffusion rate in a commonly used acrylamide polyvinyl alcohol-based material is of the order of 10-10 cm2=s. This value closely agrees with the predictions of the nonlocal polymerization-driven diffusion model. © 2011 Optical Society of America.",Article,"Final",,Scopus,2-s2.0-79957600544
"Kelly D.P., Healy J.J., Hennelly B.M., Sheridan J.T.","56044455800;14055830200;6603022875;7201682655;","Quantifying the 2.5D imaging performance of digital holographic systems",2011,"Journal of the European Optical Society","6",, 11034,"27","",,38,"10.2971/jeos.2011.11034","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856715604&doi=10.2971%2fjeos.2011.11034&partnerID=40&md5=868dcd99dcd0794e8651db99300c209a","Digital holographic systems are a class of two step, opto-numerical, pseudo-three-dimensional imaging techniques. The role of the digital camera in limiting the resolution and field of view of the reconstructed image, and the interaction of these limits with a general optical system is poorly understood. The linear canonical transform describes any optical system consisting of lenses and/or free space in a unified manner. Expressions derived using this transform are parametrised in terms of the parameters of the optical system, as well as those of the digital camera: aperture size, pixel size and pixel pitch. We develop rules of thumb for selecting an optical system to minimise mean squared error for given input and digital camera parameters. In the limit, our results constitute a point spread function analysis. The results presented in this paper will allow digital holography practitioners to select an optical system to maximise the quality of their reconstructed image using a priori knowledge of the camera and object.",Article,"Final",Open Access,Scopus,2-s2.0-84856715604
"Guo J., Liu S., Gleeson M.R., Sheridan J.T.","7404488791;24070757300;7102850433;7201682655;","Study of photosensitizer diffusion in a photopolymer material for holographic applications",2011,"Optical Engineering","50","1", 015801,"","",,14,"10.1117/1.3526686","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052230691&doi=10.1117%2f1.3526686&partnerID=40&md5=1a89727c246fb70965130d5478567900","Photopolymer materials exhibit good characteristics when used as holographic recording media. Extensive studies have been carried out on the behavior of the various chemical components in such materials, with photosensitizers in particular receiving much attention. In all previous analysis of photopolymer kinetics, the effects of photosensitiser diffusion have been neglected. For rapid sequential holographic recordings in photopolymers, for example, in an application such as holographic data storage, dye diffusion effects may become more pronounced. Therefore, we examine the dye diffusion effects of erythrosine B in an acrylamide/polyvinyl alcohol material. This is achieved using simple experimental techniques and a proposed theoretical model. © 2011 Society of Photo-Optical Instrumentation Engineers (SPIE).",Article,"Final",,Scopus,2-s2.0-80052230691
"Close C.E., Gleeson M.R., Mooney D.A., Sheridan J.T.","9246335300;7102850433;8839008500;7201682655;","Monomer diffusion rates in photopolymer material. Part II. High-frequency gratings and bulk diffusion",2011,"Journal of the Optical Society of America B: Optical Physics","28","4",,"842","850",,25,"10.1364/JOSAB.28.000842","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79959281113&doi=10.1364%2fJOSAB.28.000842&partnerID=40&md5=f132c41fd4b39f12b655608025322420","Photosensitive polymers are of practical importance, and mass transport within such materials plays a critical role in their behavior. Building on the work in Part I [J. Opt. Soc. Am. B doc. ID 136413 (posted 5 January 2011, in press)], the diffusion constants of a number of materials (i.e., acrylamide, polyacrylamide, water, propanol, and acetone) within a photosensitive layer are measured. A combination of optical and physical chemistry techniques is applied under different conditions. Determining the rates of diffusion is beneficial as it: (i) indicates material stability over time and (ii) supports material characterization, modeling, and performance optimization. © 2011 Optical Society of America.",Article,"Final",,Scopus,2-s2.0-79959281113
"Liu C., Wang D., Healy J.J., Hennelly B.M., Sheridan J.T., Kim M.K.","55314477500;10045139300;14055830200;6603022875;7201682655;57200343135;","Digital computation of the complex linear canonical transform",2011,"Journal of the Optical Society of America A: Optics and Image Science, and Vision","28","7",,"1379","1386",,8,"10.1364/JOSAA.28.001379","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79959923879&doi=10.1364%2fJOSAA.28.001379&partnerID=40&md5=1a15594b9da5c28fbe73c4c30e17c40f","An efficient algorithm for the accurate computation of the linear canonical transform with complex transform parameters and with complex output variable is presented. Sampling issues are discussed and the requirements for different cases given. Simulations are provided to validate the results. © 2011 Optical Society of America.",Article,"Final",,Scopus,2-s2.0-79959923879
"Liu S., Gleeson M.R., Guo J., Sheridan J.T., Tolstik E., Matusevich V., Kowarschik R.","24070757300;7102850433;7404488791;7201682655;24476717500;7003588620;7005425887;","Modeling the photochemical kinetics induced by holographic exposures in PQ/PMMA photopolymer material",2011,"Journal of the Optical Society of America B: Optical Physics","28","11",,"2833","2843",,32,"10.1364/JOSAB.28.002833","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80155154235&doi=10.1364%2fJOSAB.28.002833&partnerID=40&md5=31de4f8ab6f4d2cb9a30977575333fc6","Phenanthrenequinone (PQ) doped poly(methyl methacrylate) (PMMA) photopolymer material is receiving ever greater attention in the literature due to its attractive properties for applications such as holographic data storage, hybrid optoelectronics, solar concentrators, self-trapping of light, and diffractive optical elements. PQ/PMMA photopolymer material can be used to produce three-dimensional low loss, low shrinkage recordings that are environmentally stable, have high contrast refractive index variations, and can produce high-optical-quality devices. However, in any attempt to further develop the potential of such materials, a more physical and accurate theoretical model has become ever more necessary and important. In this paper, based on a detailed analysis of the photochemical mechanisms present in PQ/PMMA photopolymer during holographic grating formation, a set of rate equations are derived governing the temporal and spatial variations of each associated chemical species concentration. Experimental results are presented, which are then fit using this model. In this way, values for several kinetic parameters are estimated and their significance is discussed. © 2011 Optical Society of America.",Article,"Final",,Scopus,2-s2.0-80155154235
"Sheridan J.T.","7201682655;","Holography and photopolymer recording materials",2010,"Optics InfoBase Conference Papers",,,,"","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897731074&partnerID=40&md5=be845a6e3533414ad33876cb05ed8642","Photopolymers act as drivers and enabler of fabrication technologies for applications including refractive/diffractive optical elements, hybrid 3D optoelectronic circuitry, data storage recoding media and self-trapping. The need for and development of modeling tools is discussed. © 2010 Optical Society of America.",Conference Paper,"Final",,Scopus,2-s2.0-84897731074
"Sheridan J.T.","7201682655;","A review of some recent work in the area of imaging and optical signal processing",2010,"Optics InfoBase Conference Papers",,,,"","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896752485&partnerID=40&md5=645a7e4af1e8ac5ab10978ba5209cc8a","A concise review is presented of research recently carried out within our research group. Topics discussed include: (i) Imaging through turbulent media using Lucky Imaging combined with synthetic apertures; (ii) Numerical algorithms and simulation of quadratic phases systems, i.e. the Fast Linear Canonical Transform, appropriate sampling, aliasing and the Wigner Distribution Function; (iii) Controlling speckle in such optical systems and speckle based metrology; (iv) Digital holographic systems and their application; and (v) Optical encryption and multiplexing. © 2010 Optical Society of America.",Conference Paper,"Final",,Scopus,2-s2.0-84896752485
"Ryle J.P., Li D., Sheridan J.T.","14056979400;36521412000;7201682655;","Comparison of laplacian differential reconstruction of inline holograms recorded at two different wavelengths and distances",2010,"Optics InfoBase Conference Papers",,,,"","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897744296&partnerID=40&md5=6499a3bf5e77d0b0291f29b0f2a2444b","We record two holograms using two different illuminating wavelengths. Subtracting these holograms, the resulting reconstruction is an approximation to the second order Laplacian differentiation of the object wave. ©2010 Optical Society of America.",Conference Paper,"Final",,Scopus,2-s2.0-84897744296
"Gleeson M.R., Liu S., Sheridan J.T.","7102850433;24070757300;7201682655;","The production of primary radicals in photopolymers during holographic exposure",2010,"Optik","121","24",,"2273","2275",,8,"10.1016/j.ijleo.2009.09.012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78751579229&doi=10.1016%2fj.ijleo.2009.09.012&partnerID=40&md5=c6e85198bc25e32adecc3ae060bba631","Recently, extensive studies have been carried out on the time varying absorption effects, which occur in photopolymer materials, during holographic exposure. The theoretical analysis presented in these studies, assumed that three primary mechanisms determined the dye kinetic behaviour. These mechanisms are: (i) photon absorption, (ii) the regeneration or recovery of absorptive photosensitiser, and (iii) photosensitiser bleaching. Based on this analysis, the generation of primary radicals were then described. In this article, we significantly extend these theoretical analyses. A detailed examination of the photochemical reactions, which take place during the photo-initiation mechanisms, is presented. Then a more accurate representation of the initiation mechanisms is developed. This enables more exact expressions for both the temporal and spatial variations of the photosensitiser and primary radical concentrations, to be generated. © 2010 Elsevier GmbH.",Article,"Final",,Scopus,2-s2.0-78751579229
"Liu S., Gleeson M.R., Guo J., Sheridan J.T.","24070757300;7102850433;7404488791;7201682655;","High intensity response of photopolymer materials for holographic grating formation",2010,"Macromolecules","43","22",,"9462","9472",,44,"10.1021/ma101723y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78651272456&doi=10.1021%2fma101723y&partnerID=40&md5=65a3e6cbf95a03e196b7dd50ac99780c","In order to further develop the understanding of photopolymermaterials, amore complete physical model has become necessary. In particular, amore accurate description of the photochemicalmechanisms occurring during the photopolymerization processes is needed. Generally, in photopolymers, the photosensitizer absorbs light of an appropriate wavelength, becoming excited and causing the production of primary radicals, R*. In free radical polymerization systems, the generation ofR* is a key factor in determining howmuchmonomer is polymerized.This in turn is closely related to the refractive indexmodulation formed during holographic recording. In this article, we incorporate a detailed photoinitiation model into the nonlocal photopolymerization driven diffusion (NPDD) model. This model describes the following: (1) Photon absorption behavior and primary radical generation during initiation; (2) nonlocal macro-radical chain growth through propagation; (3) oxygen diffusion and replenishment for inhibition; (4) multiple termination mechanisms. This extended model is experimentally validated for high intensity holographic exposures to a polyvinylalcohol/acrylamide based photopolymer material. © 2010 American Chemical Society.",Article,"Final",,Scopus,2-s2.0-78651272456
"Sheridan J.T.","7201682655;","Photopolymer recording materials: Characterisation, recording and applications",2010,"2010 12th International Conference on Transparent Optical Networks, ICTON 2010",,, 5549151,"","",,,"10.1109/ICTON.2010.5549151","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77957265747&doi=10.1109%2fICTON.2010.5549151&partnerID=40&md5=85ae4ba968ea371649133934d2294658","Photopolymers act as drivers and enabler of fabrication technologies for applications including holographic art, data storage, 3D hybrid optoelectronic circuitry, refractive/diffractive optical elements, and the beam self-focusing studies. The reasons for and need for the development of modeling tools is discussed. Combining the experimental characterization of such materials with these tools provides a powerful analysis technique. Previous results in the area are reviewed and recent results discussed. © 2010 IEEE.",Conference Paper,"Final",,Scopus,2-s2.0-77957265747
"Ryle J.P., Li D., Sheridan J.T.","14056979400;36521412000;7201682655;","Dual wavelength digital holographic Laplacian reconstruction",2010,"Optics Letters","35","18",,"3018","3020",,16,"10.1364/OL.35.003018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77956686560&doi=10.1364%2fOL.35.003018&partnerID=40&md5=342aef9acbccceb892eae0d6fee30d5a","Access to the spatial derivatives of an optical wave field can be used to enhance edge detection, focusing, and holographic imaging, It was recently shown that, by using digital holographic techniques, the Laplacian of an object field can be extracted. Here it is demonstrated that equivalent results can be found using two holograms captured at either two distances or with two appropriately related wavelengths. Experimental and numerical results confirming the theoretical analyses are presented. The proposed two-wavelength-based system requires no mechanical repositioning of the object and is shown to provide superior performance. © 2010 Optical Society of America.",Article,"Final",,Scopus,2-s2.0-77956686560
"Gleeson M.R., Liu S., Guo J., Sheridan J.T.","7102850433;24070757300;7404488791;7201682655;","Non-local photo-polymerization kinetics including multiple termination mechanisms and dark reactions: Part III. Primary radical generation and inhibition",2010,"Journal of the Optical Society of America B: Optical Physics","27","9",,"1804","1812",,44,"10.1364/JOSAB.27.001804","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77956553935&doi=10.1364%2fJOSAB.27.001804&partnerID=40&md5=b064b8f7f7bce472bf2a0c1347e496d9","Photopolymers are playing an ever more important role in diverse areas of research such as holographic data storage, hybrid photonic circuits, and solitary waves. In each of these applications, the production of primary radicals is the driving force of the polymerization processes. Therefore an understanding of the production, removal, and scavenging processes of free radicals in a photopolymer system is crucial in determining a material's response to a given exposure. One such scavenging process is inhibition. In this paper the non-local photo-polymerization driven diffusion model is extended to more accurately model the effects of (i) time varying primary radical production, (ii) the rate of removal of photosensitizer, and (iii) inhibition. The model is presented to specifically analyze the effects of inhibition, which occur most predominantly at the start of grating growth, and comparisons between theory and experiment are performed which quantify these effects. © 2010 Optical Society of America.",Article,"Final",,Scopus,2-s2.0-77956553935
"Liu S., Gleeson M.R., Guo J., Sheridan J.T.","24070757300;7102850433;7404488791;7201682655;","Optical characterization of photopolymers materials: Theoretical and experimental examination of primary radical generation",2010,"Applied Physics B: Lasers and Optics","100","3",,"559","569",,29,"10.1007/s00340-010-4022-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77956543833&doi=10.1007%2fs00340-010-4022-x&partnerID=40&md5=cdfdb0d5f260a6eaf40f9080b374e939","Several studies of the time varying photon absorption effects, which occur during the photo-initiation process in photopolymer materials, have been presented. Three primary mechanisms have been identified: (i) the dye absorption, (ii) recovery, and (iii) bleaching. Based on an analysis of these mechanisms, the production of primary radicals can be physically described and modelled. In free radical photo-polymerization systems, the excited dye molecules induce the production of the primary radicals, R•, which is a key factor in determining how much monomer is polymerized. This, in turn, is closely related to the refractive index modulation formed during holographic recording. In this article, by modifying the composition of a polyvinylalcohol/acrylamide based photopolymer material, i.e. excluding any co-initiator, the photo-kinetic behaviour of the material is greatly simplified. In this way, the rate constant of intersystem crossing, kst, in going from the excited singlet state dye to the excited triple state dye can be determined. kst is then available to be applied in a full model of the photo-initiation process making it possible to accurately predict the time varying concentration of primary radicals generated during exposure. © Springer-Verlag 2010.",Article,"Final",,Scopus,2-s2.0-77956543833
"Healy J.J., Sheridan J.T.","14055830200;7201682655;","Numerical approximation of scalar diffraction through first order optical systems",2010,"Proceedings of SPIE - The International Society for Optical Engineering","7717",, 77171A,"","",,,"10.1117/12.854053","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954967950&doi=10.1117%2f12.854053&partnerID=40&md5=095ea72716400d39440995fab39103b8","Luneburg's first order optical systems consist of sections of free space, lenses, and all possible combinations of these. The linear canonical transform (LCT), a parameterised linear integral transform, may be used to model the paraxial propagation of scalar optical fields through such systems. We consider the propagation of quasi-monochromatic, coherent wave fields, though more general calculations are possible. Numerical approximation of such systems is an active area of research, of interest for system design and analysis. We consider methods for the determination of the sampling requirements for the wave fields at the input and output of such calculations, in conjunction with the discretisation of the transform. We illustrate these considerations using phase space diagrams (PSDs), making use of the LCT's simple co-ordinate transforming effect on such diagrams. We discuss the implications of the cross-terms present in the Wigner distribution function, which are ignored in such PSD-based analyses, for the accuracy of the simulations and for the selection of sampling schemes. We examine the available algorithms for performing the transformations in O(N log N) time. In particular, we consider the relative merits of algorithms which decompose the optical system into special cases for which fast algorithms are better developed and also algorithms which decompose the calculations into smaller ones iteratively. © 2010 SPIE.",Conference Paper,"Final",,Scopus,2-s2.0-77954967950
